NO,STREETADDRESS,POSTALCODE,STATEORPROVINCE,CITY,SALESCLOSEPRICE,LISTDATE,LISTPRICE,LISTTYPE,ORIGINALLISTPRICE,PRICEPERTSFT,FOUNDATIONSIZE,FENCE,SCHOOLDISTRICTNUMBER,DAYSONMARKET,OFFMKTDATE,FIREPLACES,ROOMTYPE,ROOF,POTENTIALSHORTSALE,POOLDESCRIPTION,PDOM,GARAGEDESCRIPTION,SQFTABOVEGROUND,TAXES,TAXWITHASSESSMENTS,TAXYEAR,LIVINGAREA,UNITNUMBER,YEARBUILT,ZONING,STYLE,ACRES,COOLINGDESCRIPTION,APPLIANCES,BACKONMARKETDATE,EXTERIOR,DININGROOMDESCRIPTION,BASEMENT,BATHSFULL,BATHSHALF,BATHQUARTER,BATHSTHREEQUARTER,CLASS,BATHSTOTAL,BATHDESC,BEDROOMS,SQFTBELOWGROUND,ASSUMABLEMORTGAGE,ASSOCIATIONFEE,ASSESSMENTPENDING,ASSESSEDVALUATION,latitude,longitude
1,11511 Stillwater Blvd N,55042,MN,LELM - Lake Elmo,143000,7/15/2017 0:00,139900,Exclusive Right,139900,145.9184,980,Other,834 - Stillwater,10,7/30/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Deck                                                                                                  ",null,No,null,10,Attached Garage,980,1858,1858,2017,980,null,1950,Residential-Single,(SF) One Story,1.28,Central,"Range,Dishwasher,Refrigerator                                                                                                                                                                            ",null,Vinyl,Eat In Kitchen,Full,1,1,0,0,SF,2,"Main Floor 3/4 Bath,1/2 Basement,Basement                                                                                                                                                                      ",3,0,null,0,Unknown,0,45.00585,-92.87286
2,11200 31st St N,55042,MN,LELM - Lake Elmo,190000,10/9/2017 0:00,210000,Exclusive Right,210000,85.2783,1144,null,834 - Stillwater,4,10/13/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Office                                                                                                ","Asphalt Shingles,Pitched,Age 8 Years or Less                                ",No,null,4,"Attached Garage,Driveway - Asphalt,Garage Door Opener                                                                                                      ",1268,1640,1640,2017,2228,null,1971,Residential-Single,(SF) Split Entry (Bi-Level),0.32,Central,"Range,Microwave,Exhaust Fan/Hood,Dishwasher,Refrigerator,Washer,Dryer,Disposal                                                                                                                      ",null,Vinyl,"Informal Dining Room,Kitchen/Dining Room                                                                                        ","Full,Partial Finished,Day/Lookout Windows,Concrete Block                                                                        ",1,0,0,2,SF,3,"Main Floor Full Bath,Upper Level 3/4 Bath,3/4 Master,3/4 Basement                                                                                                                                             ",4,960,null,0,Unknown,0,44.99488,-92.87927
3,8583 Stillwater Blvd N,55042,MN,LELM - Lake Elmo,225000,6/26/2017 0:00,225000,Exclusive Right,225000,204.1742,1102,None,622 - North St Paul-Maplewood,28,7/24/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom                                                                                                        ",null,No,None,28,Attached Garage,1102,2390,2390,2016,1102,null,1949,Residential-Single,(SF) One Story,0.822,Window,"Range,Microwave,Dishwasher,Refrigerator,Washer,Dryer,Disposal                                                                                                                                        ",null,Cement Board,Informal Dining Room,"Full,Crawl Space,Concrete Block                                                                                                  ",1,0,0,0,SF,1,Main Floor Full Bath,2,0,Not Assumable,0,No,0,44.99225,-92.93276
4,9350 31st St N,55042,MN,LELM - Lake Elmo,265000,8/25/2017 0:00,230000,Exclusive Right,230000,162.3775,959,None,834 - Stillwater,19,9/13/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Office,Office,Deck                                                                                  ","Asphalt Shingles,Pitched,Age 8 Years or Less                                ",No,None,19,"Attached Garage,Detached Garage,Tuckunder,Driveway - Gravel                                                                                               ",1284,2146,2146,2017,1632,null,1960,Residential-Single,(SF) One Story,0.94,Central,"Range,Washer,Dryer                                                                                                                                                                                       ",null,Stucco,null,"Full,Partial Finished,Drain Tiled,Sump Pump                                                                                     ",1,1,0,0,SF,2,"Main Floor Full Bath,1/2 Basement                                                                                                                                                                               ",2,348,null,0,Unknown,0,44.9948,-92.87797
5,2915 Inwood Ave N,55042,MN,LELM - Lake Elmo,249900,9/12/2017 0:00,239900,Exclusive Right,239900,121.7836,1026,Chain Link,622 - North St Paul-Maplewood,21,10/3/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Deck,Deck,Patio                                                                                     ","Asphalt Shingles,Age Over 8 Years                                            ",No,null,21,"Attached Garage,Driveway - Asphalt,Garage Door Opener                                                                                                      ",1026,2010,2010,2017,2052,null,1978,Residential-Single,(SF) Split Entry (Bi-Level),0,Central,"Range,Exhaust Fan/Hood,Dishwasher,Refrigerator,Washer,Dryer                                                                                                                                           ",null,Vinyl,"Breakfast Area,Kitchen/Dining Room                                                                                              ","Walkout,Full,Finished (Livable),Sump Pump,Egress Windows                                                                       ",1,0,0,1,SF,2,"Main Floor Full Bath,Master Walk-Thru,Walk Thru,3/4 Basement                                                                                                                                                  ",3,1026,null,0,No,0,44.99087,-92.9338
6,3604 Layton Ave N,55042,MN,LELM - Lake Elmo,255000,4/10/2017 0:00,239900,Exclusive Right,239900,182.534,1152,null,834 - Stillwater,17,4/27/2017 0:00,1,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Master Bath,Three Season Porch                                                                       ","Asphalt Shingles,Age 8 Years or Less                                         ",No,null,17,"Attached Garage,Driveway - Asphalt                                                                                                                          ",1397,1491,1494,2016,1397,null,1965,Residential-Single,(SF) One Story,0.172,Central,"Range,Microwave,Dishwasher,Refrigerator,Washer,Dryer                                                                                                                                                  ",null,"Metal,Vinyl                                         ",Separate/Formal Dining Room,"Full,Sump Pump,Concrete Block,Unfinished                                                                                        ",2,0,0,0,SF,2,"Main Floor Full Bath,Full Master                                                                                                                                                                                ",3,0,Not Assumable,0,No,3,45.00315,-92.8781
7,9957 5th Street Ln N,55042,MN,LELM - Lake Elmo,248000,6/8/2017 0:00,250000,Exclusive Right,265000,137.931,700,null,834 - Stillwater,32,7/10/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Loft                                                                                                  ","Asphalt Shingles,Age 8 Years or Less                                         ",No,null,19,"Attached Garage,Driveway - Asphalt,Garage Door Opener                                                                                                      ",1798,2165,2168,2017,1798,null,2015,Residential-Single,(TH) Side x Side,0.05,Central,"Range,Microwave,Dishwasher,Refrigerator,Washer,Dryer,Water Softener - Owned                                                                                                                          ",null,"Shakes,Metal,Vinyl,Brick/Stone                    ","Informal Dining Room,Kitchen/Dining Room                                                                                        ",Slab,1,1,0,1,SF,3,"Main Floor 1/2 Bath,Upper Level Full Bath,Private Master,3/4 Master                                                                                                                                          ",3,0,null,200,Yes,3,44.9536,-92.9059
8,9934 5th Street Ln N,55042,MN,LELM - Lake Elmo,245000,11/5/2017 0:00,254990,Exclusive Right,273417,141.3733,1088,Partial,834 - Stillwater,5,11/10/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Loft,Sitting Room                                                                                    ",Asphalt Shingles,No,null,1,Attached Garage,1733,0,0,2017,1733,null,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range,Microwave,Dishwasher,Refrigerator,Freezer,Washer,Dryer,Disposal,Air-To-Air Exchanger                                                                                                         ",null,Vinyl,"Informal Dining Room,Eat In Kitchen                                                                                             ",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath,Upper Level Full Bath,Private Master                                                                                                                                                      ",3,0,null,200,No,0,44.9536,-92.9059
9,9926 5th Street Ln N,55042,MN,LELM - Lake Elmo,254990,10/12/2017 0:00,254990,Exclusive Right,273152,147.1379,1088,Partial,834 - Stillwater,23,11/11/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Loft,Sitting Room                                                                                    ",Asphalt Shingles,No,null,5,Attached Garage,1733,0,0,2017,1733,null,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range,Microwave,Dishwasher,Refrigerator,Freezer,Washer,Dryer,Disposal,Air-To-Air Exchanger                                                                                                         ",null,Vinyl,"Informal Dining Room,Eat In Kitchen,Breakfast Area                                                                             ",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath,Upper Level Full Bath,Private Master                                                                                                                                                      ",3,0,null,200,No,0,44.9536,-92.9059
10,9928 5th Street Ln N,55042,MN,LELM - Lake Elmo,250000,9/2/2017 0:00,255990,Exclusive Right,273482,144.2585,1088,"Privacy,Partial                        ",834 - Stillwater,73,11/20/2017 0:00,0,"Living Room,Dining Room,Family Room,Kitchen,First (1st) Bedroom,Second (2nd) Bedroom,Third (3rd) Bedroom,Fourth (4th) Bedroom,Loft,Sitting Room                                                                                    ",Asphalt Shingles,No,null,11,Attached Garage,1733,0,0,2017,1733,null,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range,Microwave,Dishwasher,Refrigerator,Freezer,Washer,Dryer,Disposal,Air-To-Air Exchanger                                                                                                         ",null,Vinyl,"Informal Dining Room,Eat In Kitchen                                                                                             ",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath,Upper Level Full Bath,Private Master                                                                                                                                                      ",3,0,null,200,No,0,44.9536,-92.9059
