SOAAADD12AB018A9DD	TRNCENP12903C9EF3A
SOAAADE12A6D4F80CC	TRSKKFK128F148B615
SOAAADF12A8C13DF62	TRCQMSP128F428A6F7
SOAAADZ12A8C1334FB	TRMDNZY128F425A532
SOAAAFI12A6D4F9C66	TRZEXLQ128F1491D17
SOAAAGK12AB0189572	TRDZUFJ12903CE29FC
SOAAAGN12AB017D672	TRHPQGK128F930A22F
SOAAAGO12A67AE0A0E	TRLNGIA128EF33FD34
SOAAAGP12A6D4F7D1C	TRDWEPA128F145FE05
SOAAAGQ12A8C1420C8	TRJWZII128F92CA924
SOAAAKE12A8C1397E9	TRZJXIZ128F42942DE
SOAAALJ12AB01828B4	TRDGKVW128F92F1FA2
SOAAAMT12AB018C9C4	TRYIOYF12903CD4E73
SOAAANN12A8C14425E	TRSKINL128F92EC5E2
SOAAANV12A6D4FB6C4	TRYNKZT128F14A4754
SOAAAQN12AB01856D3	TRATLOJ128F9308ABB
SOAAAQQ12A8C13785B	TRVXXUU128F426AE42
SOAAAUY12A8C133A1B	TRMAWVL128F423F06C
SOAAAWK12A8C134738	TRDEGQW128F426F312
SOAAAXN12A8C13A70C	TRXWDIG128F4274BF1
SOAAAZL12A8C135238	TRICOFM128F42514D0
SOAABCT12AB0185A57	TRWTMQL12903CA46F4
SOAABDH12A6D4F7658	TRMTWOF128F147EA43
SOAABDR12AF72A056F	TRLQJWK12903D05064
SOAABDX12A58A7E508	TRDBVCY12903CD7820
SOAABEX12A8AE467CB	TRGUKKT128F42304F4
SOAABII12AB0189914	TRFKKKV12903CD904A
SOAABLG12A6D4F73D2	TRFUCDA128F1455C96
SOAABLP12A6D4F8861	TRXOSZE128F148A158
SOAABMP12A6D4F7633	TRQVPBD128F1458060
SOAABNE12A8C141154	TRVQZUX128F42903EB
SOAABQL12A67020E76	TRJOVXI128E0791CFA
SOAABQR12AF72A2C11	TRWZVXD12903C9CD79
SOAABRF12AC468803F	TRTXJKG12903D08EC2
SOAABRM12A58A7B273	TRFMEGU128F9330933
SOAABRT12A6D4F7940	TRUGBDI128F14548CD
SOAABSB12A8C143E55	TRWDNBJ128F92F02DA
SOAABUF12A8AE47B8A	TRYJBFT128F425A5D6
SOAABVA12AC3DF673F	TRXVIGQ12903CE7F6E
SOAABYG12AB01876F4	TRGOZRG12903CA6E33
SOAACBE12A6D4F7A54	TRHRWOM128F1466747
SOAACBK12A67ADD198	TRFLURI12903CAE9EE
SOAACDT12AAF3B5C4E	TRBFZNQ128F92D9539
SOAACFC12A8C140567	TRAZWZE128F92EC86D
SOAACFF12AB017C53C	TRSMYZI128F9319172
SOAACFT12A8C137EB8	TRLDUKD128F4252F43
